qstr_Next_Page|Следующая страница
qstr_Kingdom_culture:_{s1|Культура королевства: {s11}
qstr_{s11}|{s11}
qstr_The_goverment_of_the|Правительство {s10} это {s4}.
qstr_The_upper_class_soci|Высший общественный класс это {s5}.
qstr_The_people_are_{s6}.|Люди {s6}.
qstr_The_troops_have_{s7}|Солдаты имеют {s7}.
qstr_The_government_s_app|Подход государства к торговле {s0}
qstr_Our_goverment_is_{s4|Наше правительство это {s4}.
qstr_Our_people_are_{s6}.|Наши люди {s6}.
qstr_Our_troops_have_{s7}|Наши бойцы {s7}.
qstr_Our_approach_to_trad|Наш подход к торговле {s0}
qstr_According__to_the_re|по донесениям наших шпионов
qstr_{s10}_{reg3}_lords_s|{s10} {reg3} лордов поддерживают {s9}.
qstr_Sorry_currently_I_ca|Прошу прощения, сейчас я не располагаю информацией о настроениях лордов, наши шпионы еще не вернулись.
qstr_{s11}_and_{s12}|{s11} и {s12}
qstr_We_are_not_at_war_wi|В настоящее время мы ни с кем не воюем.
qstr_We_are_at_war_with_{|Мы воюем с {s12}.
qstr_Our_kingdom_currentl|Наше королевство имеет {reg2} солдат
qstr_{s6}_garrisoned_in_{|{s6} размещено в гарнизонах {reg2} городов
qstr_{s6}_and_{reg2}_cast|{s6} и {reg2} замков.
qstr_{s6}_In_addition_we_|{s6} Кроме того, Вы имеете {reg2} солдат в округе.
qstr_We_currently_have_{r|Сейчас у нас {reg2} солдат
qstr_{s6}_In_addition_you|{s6} Кроме того, Вы имеете {reg2} солдат в вашем сопровождении и {reg3} солдат в патрулях.
qstr_He_fields_{reg2}_sol|Его окружают {reg2} солдат.
qstr_We_currently_have_{re|Сейчас у нас {reg2} солдат размещено в {s60}.
qstr_You_are_preferring_m|Вы предпочли единицы ближнего боя.
qstr_You_are_preferring_r|Вы предпочли единицы дальнего боя.
qstr__and_the_additional_| и дополнительных тренеров
qstr_We_currently_have_an|Сейчас мы получаем {reg0} динар и тратим {reg1} динар на содержание феодов и гарнизонов.
qstr_{s6}_We_are_losing_{|{s6} Мы потеряли {reg0} динар из-за неэффективного сбора налогов. Это {reg1}% от нашего дохода.
qstr_{s6}_Overall_this_su|{s6} Полное сальдо составит {reg0} динар.
qstr_{reg0}_denars|{reg0} динар
qstr_no|нет
qstr_{s60}_is_currently_o|{s60} сейчас заняли разбойники. Вы должны прогнать их как можно скорее.
qstr__We_are_expecting_{r| Мы ожидаем {reg0} динар в качестве ренты
qstr__The_troop_wages_for| Плата войскам ({reg0} воинов) стоит нам {reg1} динар.
qstr_{s61}_and_{reg0}_den|{s61} и {reg0} динар налогов
qstr_Well_{s60}.|Хорошо, {s60}.
qstr_{s4}_{s3}._The_tax_r|{s4} {s3}. Налоги - {s50}.{s59}{s61}. Полная сумма составит {s62} динар.
qstr_Tax_rate_for_{s6}:_{|Ставка налогов для {s6}: {s11}
qstr_The_{s17}_has_the_fol|{s17} имеет следующие улучшения: {s18}.
qstr_You_have_shown_great|Вы показали великую силу и доблесть в бою. Но почему я должен позволить Вам присоединится к нам?
qstr_All_of_life_is_about|Вся жизнь - бесконечная борьба. Но почему мы должны позволить Вам быть нашим товарищем?
qstr_I_know_people_do_fea|Я знаю, люди боятся Вашей жестокости. Должны ли мы бояться тоже?
qstr_Indeed_I_have_heard_|Действительно, я слышал о Вашей верности и доблести. Но достаточно ли этого, чтобы присоединиться к нам?
qstr_I_m_glad_you_want_to|Я рад, что ты хочешь поддержать нас. Но разумно ли с твоей стороны присоединиться к нам?
qstr_Beside_your_wealth_h|Кроме твоего богатства, как еще ты можешь послужить моей семье?
qstr_My_friend_I_see_your|Друг мой, я понимаю твои аргументы. Но готов ли ты рискнуть нашей дружбой ради партнерства?
qstr_Agreed!_Your_words_c|Согласен! Ваши слова убеждают меня так же, как Ваш меч!
qstr_I_trust_you_my_famil|Я верю Вам, моя семья сможет использовать Вашу изобретательность. Вместе мы распространим наше влияние на всю Кальрадию.
qstr_May_God_have_mercy_o|Пусть Бог пощадит души наших врагов, ибо от нас они не дождутся пощады!
qstr_So_be_it._We_are_hon|Пусть будет так. Мы имеем честь принять тебя в нашу семью.
qstr__I_will_appreciate_y| Я буду ценить тебя как сына.
qstr_I_accept_your_reques|Я услышал Ваши слова. Мы поддержим Вас, если Вы поддержите нашу семью.
qstr_Since_you_have_turne|Вы доказали что можете быть достойным другом, Вы должны быть таким и во отношении всей нашей семьи.
qstr_Your_leader_is_not_e|Ваш лидер не король. И я должен присоединиться к вам?
qstr_{s40}_I_would_never_|{s40} Я никогда не присоединялся бы к кому-то, не владеющему землями, будь то город или замок.
qstr_{s40}_I_know_too_lit|{s40} Я совсем немного знаю о Вас как о лидере.
qstr_{s40}_I_found_your_m|{s40} Я нашел вашего посыльного неубедительным.
qstr_{s40}_Next_time_I_wo|{s40} В следующий раз я предпочту говорить с кем-нибудь, кто не поступает как безответственный дурак.
qstr_{s40}_Next_time_I_wou|{s40} В следующий раз я предпочел бы поговорить с кем-нибудь более сведущим в придворных манерах
qstr_{s40}_I_rather_stay_|{s40} Я скорее останусь со своим королем.
qstr_{s31}_{s32}_{s34}|{s31} {s32} {s34}
qstr_{playername}_when_we|{playername}, в начале этого долгого пути практически никто не обладал достаточным мужеством, чтобы поддержать Нас, и еще меньше было готово отдать за Нас свою жизнь. Но Вы ни минуты не колеблясь бросились на Наших врагов. Вместе мы прошли через многое и часто надежда оставляла нас, но с Божьей помощью мы преодолели все. Теперь для Нас настало время покинуть Ваш отряд и взять принадлежащее Нам по праву. Отныне Мы несем ответственность за правление {s3}. Перед Нами стоит множество задач и Мы надеемся на Вашу помощь в их решении. И, конечно, Вы навсегда останетесь первейшим из Наших почитаемых вассалов.
qstr_Find_and_speak_with_{|Найти и поговорить с {s3} ({s4}), чтобы дать ему свою вассальную присягу.
qstr__We_will_of_course_n| Естественно, необходимо дождаться окончания кампании.
qstr__{s1}_has_been_accep| {s1} был принят в качестве вассала {s2}.
qstr_I_am_{s4}_the_ruler_|Я {s4}, сюзерен {s6}
qstr_I_am_{s4}_{s8}_of_{s|Я {s4}, {s8} {s9}
qstr_I_am_{s4}_a_vassal_o|Я {s4}, вассал {s6}
qstr_{s9}{reg5?_and_the_l|{s9}{reg5? и правитель {s8}.:.
qstr_{s13}_asked_you_to_g|{s13} приказал Вам найти и доставить ему {reg3} голов скота.
qstr_{s9}_wants_you_to_fol|{s9} желает, чтобы Вы следовали за его армией до дальнейшего уведомления.
qstr_{s9}_asked_you_to_sc|{s9} приказал Вам разведать окрестности {s13}, {s14} и {s15}, после чего доложить ему о результатах разведки.
qstr_pupil|ученик
qstr_you|вы
qstr_You_are_challenging_|Вы вызываете меня на дуэль? Фигляр! Впрочем, как пожелаете, {playername}. Я готов размяться с Вами, всадник без головы.
qstr_{s16}_and_{s17}|{s16} и {s17}
qstr_Very_well_I_will_acc|Хорошо, Мы вновь примем Вас в ряды Наших вассалов, если Вы готовы снова принести Нам торжественную присягу.
qstr_A_pardon_will_only_b|Мы даруем Вам прощение, если Вы готовы отказаться от {s17} в Нашу пользу. Вы согласны с таким условием?
qstr_No._There_is_no_chan|Никогда! Никогда не бывать миру между нами!
qstr_{s1}_exchanged_{s2}_|{s1} и {s3} обменивают {s2} на {s4}.
qstr_Our_marshal_{s1}|Наш маршал, {s1}
qstr_Our_liege_{s1}|Наш сеньор, {s1}
qstr_go_on_the_offensive_|перейти в наступление
qstr_act_to_defend_our_la|принять меры для защиты наших земель
qstr_take_more_time_to_ga|ждать больше времени до сбора армии
qstr_You_promised_to_help|Вы обещали поддержку {s13} в его претензиях на трон {s14}.
qstr_What_do_you_say_to_e|Что Вы скажете о службе в качестве капитана наемников у {s9}? Без сомнения, Вы подходите для этой задачи.
qstr_{s9}_asked_you_to_ta|{s9} просил Вас доставить сообщение {s13}. {s13} по всей вероятности находился в {s4} во время получения этого задания.
qstr_{s9}_asked_you_to_tak|{s9} просил Вас доставить сообщение {s13} ({s15}). {s13} по всей вероятности находился в {s4} во время получения этого задания.
qstr_{s11}_asked_you_to_e|{s11} {reg65?просила:просил} Вас сопровождать {reg65?ее:его} {s17} {s13} в {s14}.
qstr_{s13}_asked_you_to_d|{s13} {reg65?просила:просил} Вас разобраться с бандитами, захватившими деревню {s15} и после этого связаться с {reg65?ней:ним}.
qstr_{s9}_asked_you_to_ra|{s9} {reg65?просила:просил}, чтобы Вы обучили {reg1} человек до {s14} и привели их к {reg65?ней:нему}.
qstr_{s9}_asked_you_to_co|{s9} {reg65?просила:просил} Вас помочь в сборе налогов с {s3}. {reg65?Она предложила:Он предложил} Вам 1/5 от тех денег, что Вы соберете.
qstr_{s9}_asked_you_to_hu|{s9} просил Вас помочь в охоте на беглеца по имени {s4}. По всей вероятности, сейчас он находится в {s3}.
qstr_{s9}_asked_you_to_as|{s9} просил Вас помочь в убийстве торговца из {s3}.
qstr_{s9}_has_asked_you_t|{s9} просил Вас встретиться с его шпионом в {s13}.
qstr_{s11}_asked_you_to_f|{s11} просил Вас проследить за шпионом, который покинет {s12}. Будьте осторожны, чтобы шпион не заметил Вас, в противном случае он начнет подозревать слежку и повернет обратно. Когда шпион встретится со своим связником, Вам необходимо захватить их и привезти к {s11}.
qstr_{s11}_asked_you_to_c|{s11} просил Вас захватить одного из вассалов {s13} (любого) и привезти его к {s11}.
qstr_{s9}_asked_you_to_le|{s9} просил, чтобы Вы одолжили ему Вашего спутника {s3} на неделю.
qstr_{s9}_asked_you_to_col|{s9} {reg65?просила:просил} Вас взыскать {reg4} динар, которые {s3} должен {reg65?ей:ему}. На момент получения задания {s3} был в {s4}.
qstr_{s11}_gave_you_a_fak|{s11} дал Вам подложное письмо для {s13}, изобличающее его вассала {s16}. Поблизости от {s14}, отдайте это письмо одному из ваших {s15} и пошлите его в город гонцом. Он должен быть твердо уверен в истинности Ваших намерений.
qstr_{s9}_has_requested_y|{s9} просил, чтобы Вы привели ему {reg1} пленных {s3}.
qstr_Lend_your_experience|Предоставить Вашего опытного хирурга {s3} для {s1}.
qstr_Then_take_it_with_my|Примите это вкупе с моей вечной признательностью. Вы благородный человек. Я никогда не забуду, как Вы помогли мне в трудную минуту.
qstr_Forgive_me_{playerna|Простите меня, {playername}, но я настаиваю, чтобы Вы приняли их. Деньги мало значат для меня, а мой долг перед Вами высок. Возьмите-же и не будем больше об этом.
qstr_{playername}_what_a_|{playername}, Вы прекрасный человек и я не позволю Вам отказаться от награды. Мой долг перед Вами больше, нежели возможно выразить в словах, так возьмите эти деньги. Вы распорядитесь ими гораздо лучше чем я.
qstr_{s11}_asked_you_to_r|{s11} {reg65?просила:просил} Вас спасти {reg65?ее:его} {s17}, {s13}, из {s14} поменявшись с ним одеждой и заняв {reg4?ее:его} место в темнице.
qstr_{s11}_asked_you_to_re|{s11} {reg65?просила:просил} Вас спасти {reg65?ее:его} {s17}, {s13}, томящегося в {s14}.
qstr_{s11}_asked_you_to_d|{s11} просила Вас доставить послание {s13}, находящемуся в плену в {s14}.
qstr_You_agreed_to_challe|Вы согласились бросить вызов {s13} в защиту чести госпожи {s11}.
qstr_{s5}__Persuasion_str|{s5} (сила убеждения: {reg5})
qstr_Persuasion_Attempt|Попытка убеждения
qstr_{s12}_and_{s11}|{s12} и {s11}
qstr_You_can_find_book_me|Вы можете найти торговца книгами в {s11}.
qstr_{s12}_{s11}|{s12}, {s11}
qstr_You_can_find_ransom_|Вы можете найти торговца рабами в {s11}.
qstr_A_villager_from_{s7}|Селянин из деревни {s7} умолял Вас спасти ее от разбойников, нашедших там пристанище.
qstr_You_chose_well_{s0}.|Одобряю Ваш выбор, {s0}. Мои соратники знают как держать слово и сполна отрабатывают свою плату.
qstr_Well_done_{s0}._Keep|Прекрасно, {s0}. Деньги и вино, и во всей Кальрадии Вам некого опасаться.
qstr_We_are_at_your_servi|Мы к Вашим услугам, {s0}. Просто покажите, кого нужно поучить манерам, а остальное мы сделаем сами.
qstr_The_Guildmaster_of_{|Цеховой мастер города {s13} просил Вас позаботиться о разбойниках, промышляющих в округе.
qstr_{s9}_of_{s3}_asked_y|{s9} ({s3}) просил Вас доставить {s6} в количестве {reg5} шт. в таверну города {s4} за 7 дн.
qstr_Escort_the_merchant_|Сопроводить торговый караван до {s8}.
qstr_Merchant_{s9}_of_{s4|Торговец {s9} ({s4}) просил Вас разобраться с беспокоящими его бандитами, промышляющими в окрестностях города.
qstr_Guildmaster_of_{s4}_|Цеховой мастер города {s4} передал вам {reg12} динар для уплаты выкупа бандитам, похитившим девушку. Вы должны встретиться с бандитами неподалеку от селения {s3} для передачи выкупа. После этого Вам необходимо привезти девушку обратно в город {s4}.
qstr_Guildmaster_of_{s4}_p|Цеховой мастер города {s4} обещал Вам {reg12} динар если Вы убедите {s12} и {s13} не препятствовать заключению мира между государствами {s15} и {s14}. Добиться этого можно либо убедив их, либо захватив в плен и изолировав до подписания мирного соглашения между государствами.
qstr_The_Guildmaster_of_{s|Цеховой мастер города {s14} просил вас разобраться с бандой уличных грабителей в городе {s14}. Они появляются ночью и нападают только на одиноких прохожих.
qstr_Guildmaster_of_{s10}|Цеховой мастер города {s10} просил Вас перегнать стадо в {s13}. Вы получите {reg8} динар за хлопоты.
qstr_He_is_not_commanding|В настоящий момент у него в подчинении никого нет.
qstr_He_currently_command|В настоящий момент под его командой {reg0} человек{reg1?, {reg1} из которых ранены:}.
qstr_The_elder_of_the_vil|Старейшина деревни {s3} просил Вас доставить им {reg5} мешков пшеницы.
qstr_The_elder_of_the_vill|Старейшина деревни {s13} просил Вас обучить {reg5} крестьян для противостояния бандитам.
qstr_The_elder_of_the_villa|старейшина деревни {s3} просил Вас пригнать {reg5} голов скота.
qstr_{s16}_and_{s15}|{s16} и {s15}
qstr_I_can_smell_a_fat_pu|Я чую толстый кошелек за версту.
qstr_Why_it_be_another_tr|Какая приятная, неожиданная встреча! Предупреждаю, для {паренька/девушки} вроде тебя дороги здесь опасны. Но за небольшую мзду мы с моими ребятами проследим, чтобы дорога для тебя была поспокойнее, идет?
qstr_Well_well_look_at_th|Посмотрите-ка сюда! Лучше начинай выгружать из карманов монеты, а то мы с моими друзьями будем тебя немножко бить.
qstr_There_s_a_toll_for_p|Проход здесь платный, а мы собираем эту плату. Надеюсь, Вы не будете возражать, если мы немного облегчим Ваш кошелек?
qstr_Another_fool_come_to|Еще одно тупое создание решило броситься на мой клинок? Прекрасно, к бою!
qstr_We_re_not_afraid_of_|Ничтожество! Мы не боимся таких как ты и сейчас проломим парочку голов!
qstr_That_was_a_mistake._|Большая ошибка с твоей стороны. Я буду убивать тебя медленно и мучительно.
qstr_Brave_words._Let_s_s|Храбрые речи. Сможешь подтвердить их делами, пес?
qstr_your_lordship|ваша светлость
qstr_A_{s5}?_Well..._Yes_|{s5}? Хм... Да, полагаю, так и есть. Странный вопрос.
qstr_Eh?_No_it_most_certa|А? Нет, скорее всего не {s5}. На Вашем месте я бы опросил всех кого возможно.
qstr_This_is_the_{reg4?to|Это {reg4?город:деревня} {s5}, {s0}.
qstr_{s6}_Our_{reg4?town:|{s6} Наше поселение и прилегающие земли принадлежат Вам, {милорд/миледи}.
qstr_{s6}_Our_{reg4?town:v|{s6} {reg4?Нашим городом:Нашей деревней} и окружающими землями владеет {s7} из {s8}.
qstr_{s3}_and_{s5}|{s3} и {s5}
qstr_{reg20?We_mostly_pro|{reg20?В основном мы производим здесь {s5}:В последнее время производство упало}. Если Вы хотите узнать больше, обратитесь к {reg4?цеховому мастеру:старосте}. Он там, недалеко.
